id	genre	num_words	num_sents
ce15	hobbies	2333	199
ce16	hobbies	2223	130
ce17	hobbies	2244	110
ce18	hobbies	2302	83
ce19	hobbies	2260	108
ce20	hobbies	2251	123
ce21	hobbies	2239	112
ce22	hobbies	2402	107
ce23	hobbies	2307	89
ce24	hobbies	2253	124
ce25	hobbies	2227	93
ce26	hobbies	2243	90
ce27	hobbies	2323	187
ce28	hobbies	2291	125
ce29	hobbies	2246	89
ce30	hobbies	2294	152
ce31	hobbies	2247	103
ce32	hobbies	2339	119
ce33	hobbies	2233	113
ce34	hobbies	2300	109
ce35	hobbies	2272	112
ce36	hobbies	2232	75
cf01	lore	2369	73
cf02	lore	2264	124
cf03	lore	2256	75
cf04	lore	2258	124
cf05	lore	2250	89
cf06	lore	2424	166
cf07	lore	2205	91
cf08	lore	2356	113
cf09	lore	2306	132
cf10	lore	2332	102
cf11	lore	2310	117
cf12	lore	2361	96
cf13	lore	2316	138
cf14	lore	2285	70
cf15	lore	2236	82
cf16	lore	2331	123
cf17	lore	2236	74
cf18	lore	2328	101
cf19	lore	2321	88
cf20	lore	2278	90
cf21	lore	2212	107
cf22	lore	2431	116
cf23	lore	2299	101
cf24	lore	2384	148
cf25	lore	2313	109
cf26	lore	2258	122
cf27	lore	2288	85
cf28	lore	2267	96
cf29	lore	2302	98
cf30	lore	2259	95
cf31	lore	2220	105
cf32	lore	2322	112
cf33	lore	2219	90
cf34	lore	2300	114
cf35	lore	2439	99
cf36	lore	2362	127
cf37	lore	2222	93
cf38	lore	2405	60
cf39	lore	2351	76
cf40	lore	2250	86
cf41	lore	2261	99
cf42	lore	2355	106
cf43	lore	2288	97
cf44	lore	2245	96
cf45	lore	2261	100
cf46	lore	2267	112
cf47	lore	2275	107
cf48	lore	2222	57
cg01	belles_lettres	2289	100
cg02	belles_lettres	2311	90
cg03	belles_lettres	2403	121
cg04	belles_lettres	2359	147
cg05	belles_lettres	2394	96
cg06	belles_lettres	2397	108
cg07	belles_lettres	2308	86
cg08	belles_lettres	2322	88
cg09	belles_lettres	2278	106
cg10	belles_lettres	2301	71
cg11	belles_lettres	2237	92
cg12	belles_lettres	2332	145
cg13	belles_lettres	2311	104
cg14	belles_lettres	2320	97
cg15	belles_lettres	2514	92
cg16	belles_lettres	2226	73
cg17	belles_lettres	2471	112
cg18	belles_lettres	2289	107
cg19	belles_lettres	2259	117
cg20	belles_lettres	2286	88
cg21	belles_lettres	2245	89
cg22	belles_lettres	2291	95
cg23	belles_lettres	2316	126
cg24	belles_lettres	2211	73
cg25	belles_lettres	2255	105
cg26	belles_lettres	2195	85
cg27	belles_lettres	2359	102
cg28	belles_lettres	2211	64
cg29	belles_lettres	2240	79
cg30	belles_lettres	2328	121
cg31	belles_lettres	2299	71
cg32	belles_lettres	2314	101
cg33	belles_lettres	2335	74
cg34	belles_lettres	2351	123
cg35	belles_lettres	2285	100
cg36	belles_lettres	2386	146
cg37	belles_lettres	2275	113
cg38	belles_lettres	2317	75
cg39	belles_lettres	2436	100
cg40	belles_lettres	2318	119
cg41	belles_lettres	2276	109
cg42	belles_lettres	2221	100
cg43	belles_lettres	2293	79
cg44	belles_lettres	2238	72
cg45	belles_lettres	2357	102
cg46	belles_lettres	2214	85
cg47	belles_lettres	2433	135
cg48	belles_lettres	2204	103
cg49	belles_lettres	2415	84
cg50	belles_lettres	2312	102
cg51	belles_lettres	2278	107
cg52	belles_lettres	2277	86
cg53	belles_lettres	2307	102
cg54	belles_lettres	2328	118
cg55	belles_lettres	2266	111
cg56	belles_lettres	2282	87
cg57	belles_lettres	2349	86
cg58	belles_lettres	2286	75
cg59	belles_lettres	2312	50
cg60	belles_lettres	2251	119
cg61	belles_lettres	2267	82
cg62	belles_lettres	2285	82
cg63	belles_lettres	2209	107
cg64	belles_lettres	2347	71
cg65	belles_lettres	2235	91
cg66	belles_lettres	2302	71
cg67	belles_lettres	2389	83
cg68	belles_lettres	2348	80
cg69	belles_lettres	2407	56
cg70	belles_lettres	2262	89
cg71	belles_lettres	2295	74
cg72	belles_lettres	2247	83
cg73	belles_lettres	2334	100
cg74	belles_lettres	2408	99
cg75	belles_lettres	2288	128
ch01	government	2416	149
ch02	government	2360	116
ch03	government	2207	83
ch04	government	2316	123
ch05	government	2228	83
ch06	government	2411	107
ch07	government	2436	133
ch08	government	2318	81
ch09	government	2451	104
ch10	government	2313	107
ch11	government	2254	101
ch12	government	2412	79
ch13	government	2408	108
ch14	government	2422	112
ch15	government	2313	156
ch16	government	2346	79
ch17	government	2539	106
ch18	government	2250	85
ch19	government	2194	92
ch20	government	2406	107
ch21	government	2296	90
ch22	government	2559	83
ch23	government	2282	70
ch24	government	2471	127
ch25	government	2305	81
ch26	government	2200	70
ch27	government	2248	109
ch28	government	2317	119
ch29	government	2225	73
ch30	government	2214	99
cj01	learned	2189	71
cj02	learned	2182	111
cj03	learned	2205	84
cj04	learned	2334	113
cj05	learned	2276	95
cj06	learned	2148	81
cj07	learned	2370	102
cj08	learned	2206	113
cj09	learned	2302	97
cj10	learned	2262	97
cj11	learned	2277	102
cj12	learned	2328	102
cj13	learned	2294	76
cj14	learned	2298	108
cj15	learned	2317	115
cj16	learned	2258	93
cj17	learned	2291	86
cj18	learned	2290	126
cj19	learned	2333	127
cj20	learned	2211	108
cj21	learned	2229	78
cj22	learned	2185	86
cj23	learned	2337	110
cj24	learned	2223	65
cj25	learned	2292	120
cj26	learned	2299	100
cj27	learned	2257	95
cj28	learned	2243	88
cj29	learned	2230	96
cj30	learned	2267	104
cj31	learned	2335	61
cj32	learned	2170	99
cj33	learned	2241	97
cj34	learned	2208	103
cj35	learned	2401	104
cj36	learned	2262	82
cj37	learned	2186	83
cj38	learned	2174	95
cj39	learned	2339	95
cj40	learned	2171	70
cj41	learned	2250	84
cj42	learned	2304	91
cj43	learned	2250	95
cj44	learned	2238	78
cj45	learned	2214	108
cj46	learned	2266	90
cj47	learned	2260	115
cj48	learned	2301	114
cj49	learned	2189	81
cj50	learned	2319	70
cj51	learned	2257	100
cj52	learned	2255	96
cj53	learned	2327	71
cj54	learned	2255	97
cj55	learned	2222	86
cj56	learned	2264	100
cj57	learned	2239	87
cj58	learned	2267	82
cj59	learned	2270	72
cj60	learned	2276	79
cj61	learned	2331	89
cj62	learned	2206	85
cj63	learned	2299	88
cj64	learned	2291	112
cj65	learned	2386	82
cj66	learned	2313	113
cj67	learned	2210	78
cj68	learned	2302	57
cj69	learned	2281	102
cj70	learned	2187	118
cj71	learned	2296	126
cj72	learned	2372	112
cj73	learned	2486	185
cj74	learned	2306	108
cj75	learned	2242	92
cj76	learned	2341	98
cj77	learned	2525	122
cj78	learned	2371	120
cj79	learned	2246	97
cj80	learned	2254	116
ck01	fiction	2440	172
ck02	fiction	2325	141
ck03	fiction	2296	137
ck04	fiction	2310	129
ck05	fiction	2345	174
ck06	fiction	2527	205
ck07	fiction	2443	240
ck08	fiction	2375	142
ck09	fiction	2281	93
ck10	fiction	2396	156
ck11	fiction	2399	152
ck12	fiction	2425	139
ck13	fiction	2364	139
ck14	fiction	2340	140
ck15	fiction	2330	127
ck16	fiction	2319	127
ck17	fiction	2380	187
ck18	fiction	2218	151
ck19	fiction	2345	118
ck20	fiction	2378	138
ck21	fiction	2376	207
ck22	fiction	2404	134
ck23	fiction	2319	110
ck24	fiction	2419	220
ck25	fiction	2230	67
ck26	fiction	2404	136
ck27	fiction	2319	96
ck28	fiction	2517	187
ck29	fiction	2264	85
cl01	mystery	2374	150
cl02	mystery	2370	147
cl03	mystery	2428	189
cl04	mystery	2285	168
cl05	mystery	2371	151
cl06	mystery	2288	144
cl07	mystery	2331	144
cl08	mystery	2489	143
cl09	mystery	2393	162
cl10	mystery	2391	180
cl11	mystery	2341	147
cl12	mystery	2437	196
cl13	mystery	2405	177
cl14	mystery	2485	197
cl15	mystery	2358	153
cl16	mystery	2419	183
cl17	mystery	2337	122
cl18	mystery	2324	135
cl19	mystery	2330	146
cl20	mystery	2455	175
cl21	mystery	2414	209
cl22	mystery	2358	140
cl23	mystery	2340	160
cl24	mystery	2446	168
cm01	science_fiction	2486	174
cm02	science_fiction	2412	152
cm03	science_fiction	2364	144
cm04	science_fiction	2461	197
cm05	science_fiction	2369	120
cm06	science_fiction	2378	161
cn01	adventure	2448	173
cn02	adventure	2383	172
cn03	adventure	2380	212
cn04	adventure	2349	178
cn05	adventure	2434	196
cn06	adventure	2279	127
cn07	adventure	2403	201
cn08	adventure	2289	114
cn09	adventure	2483	181
cn10	adventure	2471	199
cn11	adventure	2308	127
cn12	adventure	2424	186
cn13	adventure	2395	122
cn14	adventure	2381	168
cn15	adventure	2318	176
cn16	adventure	2405	129
cn17	adventure	2529	188
cn18	adventure	2275	126
cn19	adventure	2457	146
cn20	adventure	2356	159
cn21	adventure	2341	143
cn22	adventure	2313	142
cn23	adventure	2349	129
cn24	adventure	2523	179
cn25	adventure	2418	195
cn26	adventure	2341	129
cn27	adventure	2449	127
cn28	adventure	2281	121
cn29	adventure	2560	192
cp01	romance	2332	131
cp02	romance	2320	98
cp03	romance	2422	146
cp04	romance	2546	133
cp05	romance	2346	131
cp06	romance	2538	182
cp07	romance	2385	144
cp08	romance	2317	175
cp09	romance	2187	69
cp10	romance	2386	123
cp11	romance	2346	119
cp12	romance	2463	170
cp13	romance	2338	112
cp14	romance	2501	231
cp15	romance	2524	179
cp16	romance	2525	207
cp17	romance	2288	116
cp18	romance	2469	185
cp19	romance	2449	174
cp20	romance	2428	182
cp21	romance	2520	120
cp22	romance	2441	176
cp23	romance	2546	172
cp24	romance	2524	235
cp25	romance	2310	99
cp26	romance	2356	109
cp27	romance	2459	207
cp28	romance	2339	156
cp29	romance	2417	150
cr01	humor	2331	113
cr02	humor	2392	113
cr03	humor	2587	92
cr04	humor	2256	118
cr05	humor	2464	141
cr06	humor	2506	123
cr07	humor	2456	184
cr08	humor	2371	70
cr09	humor	2332	99
