	0
"lemma_""base"""	250
"form_""on"""	251
"lemma_""on"""	252
"form_""our"""	253
"lemma_""our"""	254
feats_Person=1	255
"form_""experience"""	256
"form_""with"""	257
"lemma_""with"""	258
feats_51	259
"form_""clients"""	260
"lemma_""client"""	261
feats_55	262
feats_69	263
"form_""we"""	264
"lemma_""we"""	265
"form_""see"""	266
"lemma_""see"""	267
"form_""14"""	268
"lemma_""14"""	269
"form_""major"""	270
"lemma_""major"""	271
"form_""which"""	272
"lemma_""which"""	273
"form_""fall"""	274
"lemma_""fall"""	275
"form_""into"""	276
"lemma_""into"""	277
feats_78	278
"form_""three"""	279
"lemma_""three"""	280
feats_NumForm=Word	281
"form_""broad"""	282
"lemma_""broad"""	283
"form_""groups"""	284
"lemma_""group"""	285
feats_2	286
"form_""market"""	287
"lemma_""market"""	288
"form_""place"""	289
"lemma_""place"""	290
"dep_""appos"""	291
"form_""itself"""	292
"lemma_""itself"""	293
feats_Case=Acc	294
feats_Gender=Neut	295
feats_PronType=Emp	296
feats_Reflex=Yes	297
"dep_""nmod:npmod"""	298
"form_""methods"""	299
"lemma_""method"""	300
feats_45	301
"form_""management"""	302
"lemma_""management"""	303
feats_40	304
"form_""1"""	305
"lemma_""1"""	306
feats_99	307
feats_7	308
"form_""Problems"""	309
"form_""greater"""	310
"form_""price"""	311
"lemma_""price"""	312
"form_""consciousness"""	313
"lemma_""consciousness"""	314
feats_29	315
"form_""There"""	316
"lemma_""there"""	317
"dep_""expl"""	318
"form_""has"""	319
"form_""been"""	320
"form_""an"""	321
"form_""intensification"""	322
"lemma_""intensification"""	323
feats_79	324
feats_92	325
feats_67	326
"form_""recent"""	327
"lemma_""recent"""	328
"form_""years"""	329
"form_"";"""	330
"lemma_"";"""	331
feats_76	332
"form_""there"""	333
"form_""is"""	334
"form_""every"""	335
"lemma_""every"""	336
feats_66	337
"form_""indication"""	338
"lemma_""indication"""	339
"form_""it"""	340
"lemma_""it"""	341
"form_""continue"""	342
"lemma_""continue"""	343
feats_77	344
"form_""Frequently"""	345
"lemma_""frequently"""	346
feats_20	347
"form_""wittingly"""	348
"lemma_""wittingly"""	349
"form_""or"""	350
"lemma_""or"""	351
feats_64	352
"form_""unwittingly"""	353
"lemma_""unwittingly"""	354
feats_18	355
feats_62	356
feats_80	357
"dep_""nsubj:pass"""	358
"dep_""aux:pass"""	359
"form_""fostered"""	360
"lemma_""foster"""	361
feats_Voice=Pass	362
"form_""by"""	363
"lemma_""by"""	364
feats_10	365
"form_""manufacturers"""	366
"lemma_""manufacturer"""	367
feats_97	368
"form_""distributors"""	369
"lemma_""distributor"""	370
feats_57	371
"form_""dealers"""	372
"lemma_""dealer"""	373
"form_""Despite"""	374
"lemma_""despite"""	375
"form_""generally"""	376
"lemma_""generally"""	377
"form_""good"""	378
"lemma_""good"""	379
"form_""levels"""	380
"lemma_""level"""	381
"form_""income"""	382
"lemma_""income"""	383
"form_""pressures"""	384
"lemma_""pressure"""	385
"form_""than"""	386
"lemma_""than"""	387
"form_""ever"""	388
"lemma_""ever"""	389
"form_""before"""	390
"lemma_""before"""	391
feats_87	392
"form_""traveling"""	393
"lemma_""travel"""	394
feats_VerbForm=Ger	395
"form_""back"""	396
"lemma_""back"""	397
feats_14	398
"form_""along"""	399
"lemma_""along"""	400
feats_86	401
"form_""chain"""	402
"lemma_""chain"""	403
"form_""from"""	404
"lemma_""from"""	405
"form_""consumer"""	406
"lemma_""consumer"""	407
feats_85	408
"form_""distributor"""	409
feats_54	410
"form_""manufacturer"""	411
"form_""Here"""	412
"lemma_""here"""	413
"form_""are"""	414
"form_""some"""	415
"lemma_""some"""	416
feats_93	417
"form_""key"""	418
"lemma_""key"""	419
"form_""areas"""	420
"lemma_""area"""	421
"form_""examine"""	422
"lemma_""examine"""	423
"dep_""acl"""	424
feats_50	425
"form_""make"""	426
"form_""sure"""	427
"lemma_""sure"""	428
"dep_""xcomp"""	429
"form_""pricing"""	430
"lemma_""pricing"""	431
"form_""strategy"""	432
"lemma_""strategy"""	433
"form_""target"""	434
"lemma_""target"""	435
"dep_""ccomp"""	436
"form_"":"""	437
"lemma_"":"""	438
"form_""Has"""	439
"form_""probable"""	440
"lemma_""probable"""	441
"form_""situation"""	442
"lemma_""situation"""	443
"form_""field"""	444
"lemma_""field"""	445
"form_""forecast"""	446
"lemma_""forecast"""	447
"form_""as"""	448
"lemma_""as"""	449
feats_70	450
"form_""basis"""	451
"lemma_""basis"""	452
feats_27	453
"form_""future"""	454
"lemma_""future"""	455
"form_""planning"""	456
"lemma_""planning"""	457
"form_""Have"""	458
"form_""cost"""	459
"lemma_""cost"""	460
"form_""studies"""	461
"lemma_""study"""	462
feats_65	463
"form_""phase"""	464
"lemma_""phase"""	465
"form_""operation"""	466
"lemma_""operation"""	467
"form_""determine"""	468
"lemma_""determine"""	469
"form_""might"""	470
"lemma_""might"""	471
"form_""done"""	472
"lemma_""do"""	473
"form_""if"""	474
"lemma_""if"""	475
"pos_""SCONJ"""	476
"form_""things"""	477
"lemma_""thing"""	478
"form_""get"""	479
"lemma_""get"""	480
"form_""worse"""	481
"lemma_""bad"""	482
feats_98	483
feats_33	484
"form_""actually"""	485
"lemma_""actually"""	486
feats_46	487
"form_""checked"""	488
"lemma_""check"""	489
"form_""out"""	490
"lemma_""out"""	491
feats_56	492
"dep_""compound:prt"""	493
"form_""("""	494
"lemma_""("""	495
feats_94	496
"form_""not"""	497
"lemma_""not"""	498
feats_84	499
"form_""just"""	500
"lemma_""just"""	501
"form_""mentally"""	502
"lemma_""mentally"""	503
feats_73	504
"form_"")"""	505
"lemma_"")"""	506
"form_""different"""	507
"lemma_""different"""	508
"form_""approaches"""	509
"lemma_""approach"""	510
"form_""designed"""	511
"lemma_""design"""	512
"form_""counter"""	513
"lemma_""counter"""	514
"form_""competition"""	515
"lemma_""competition"""	516
"form_""problem"""	517
"form_""Increased"""	518
"lemma_""increase"""	519
"form_""customer"""	520
"lemma_""customer"""	521
"form_""sophistication"""	522
"lemma_""sophistication"""	523
feats_63	524
"form_""Average"""	525
"lemma_""average"""	526
"form_""becoming"""	527
"lemma_""become"""	528
"form_""more"""	529
"lemma_""more"""	530
"form_""sophisticated"""	531
"lemma_""sophisticated"""	532
"form_""regarding"""	533
"lemma_""regard"""	534
"form_""advertising"""	535
"lemma_""advertising"""	536
"form_""claims"""	537
"lemma_""claim"""	538
"form_""partly"""	539
"lemma_""partly"""	540
"form_""because"""	541
"lemma_""because"""	542
feats_41	543
"dep_""fixed"""	544
"form_""widespread"""	545
"lemma_""widespread"""	546
"form_""criticism"""	547
"lemma_""criticism"""	548
"form_""such"""	549
"lemma_""such"""	550
"form_""assertions"""	551
"lemma_""assertion"""	552
"form_""This"""	553
"form_""can"""	554
"lemma_""can"""	555
"form_""force"""	556
"lemma_""force"""	557
"form_""change"""	558
"lemma_""change"""	559
"form_""approach"""	560
feats_72	561
"form_""many"""	562
"form_""kinds"""	563
"form_""businesses"""	564
"form_""examined"""	565
"form_""increasing"""	566
feats_6	567
"form_""standpoint"""	568
"lemma_""standpoint"""	569
feats_82	570
"form_""own"""	571
"lemma_""own"""	572
feats_17	573
"form_""Greater"""	574
"lemma_""Great"""	575
"form_""demand"""	576
"lemma_""demand"""	577
"form_""services"""	578
"lemma_""service"""	579
"form_""Need"""	580
"lemma_""need"""	581
feats_Mood=Imp	582
feats_9	583
"form_""service"""	584
"form_""here"""	585
"form_""stay"""	586
"lemma_""stay"""	587
feats_42	588
"form_""going"""	589
"lemma_""go"""	590
"form_""tougher"""	591
"lemma_""tougher"""	592
"form_""solve"""	593
"lemma_""solve"""	594
feats_32	595
"form_""two"""	596
"lemma_""two"""	597
"form_""reasons"""	598
"lemma_""reason"""	599
feats_16	600
"form_""First"""	601
"lemma_""first"""	602
feats_NumType=Ord	603
"form_""products"""	604
"form_""tend"""	605
"lemma_""tend"""	606
"form_""become"""	607
"form_""complex"""	608
"lemma_""complex"""	609
"form_""Second"""	610
"lemma_""second"""	611
"form_""feels"""	612
"lemma_""feel"""	613
"form_""his"""	614
"lemma_""his"""	615
feats_Gender=Masc	616
"form_""weight"""	617
"lemma_""weight"""	618
"form_""throws"""	619
"lemma_""throw"""	620
"form_""around"""	621
"lemma_""around"""	622
"form_""Providing"""	623
"lemma_""provide"""	624
"dep_""csubj"""	625
"form_""requires"""	626
"lemma_""require"""	627
"form_""thorough"""	628
"lemma_""thorough"""	629
"form_""general"""	630
"lemma_""general"""	631
"form_""job"""	632
"lemma_""job"""	633
feats_52	634
"form_""original"""	635
"lemma_""original"""	636
"form_""Too"""	637
"lemma_""too"""	638
"form_""often"""	639
"lemma_""often"""	640
"form_""thought"""	641
"lemma_""think"""	642
"form_""at"""	643
"lemma_""at"""	644
feats_53	645
"form_""moment"""	646
"lemma_""moment"""	647
"form_""introduction"""	648
"lemma_""introduction"""	649
"form_""Good"""	650
"form_""starts"""	651
"lemma_""start"""	652
"form_""design"""	653
feats_30	654
"form_""seem"""	655
"lemma_""seem"""	656
"form_""economy"""	657
"lemma_""economy"""	658
"form_""one"""	659
"lemma_""one"""	660
feats_60	661
"form_""Proper"""	662
"lemma_""proper"""	663
"form_""follow"""	664
"lemma_""follow"""	665
"form_""through"""	666
"lemma_""through"""	667
"form_""training"""	668
"lemma_""training"""	669
"form_""organization"""	670
"lemma_""organization"""	671
feats_89	672
"form_""organizations"""	673
feats_61	674
"form_""only"""	675
"lemma_""only"""	676
"dep_""cc:preconj"""	677
"form_""but"""	678
"lemma_""but"""	679
feats_75	680
"form_""also"""	681
"lemma_""also"""	682
feats_47	683
"form_""relations"""	684
"lemma_""relation"""	685
"form_""assessed"""	686
"lemma_""assess"""	687
"form_""importance"""	688
"lemma_""importance"""	689
"form_""given"""	690
"dep_""iobj"""	691
"form_""proper"""	692
"form_""attention"""	693
"lemma_""attention"""	694
"form_""Wider"""	695
"lemma_""Wider"""	696
"form_""discretionary"""	697
"lemma_""discretionary"""	698
"form_""choices"""	699
"lemma_""choice"""	700
feats_36	701
"form_""customers"""	702
"form_""In"""	703
"form_""spending"""	704
"lemma_""spend"""	705
"form_""money"""	706
"lemma_""money"""	707
"form_""today"""	708
"lemma_""today"""	709
"dep_""obl:tmod"""	710
"form_""pulled"""	711
"lemma_""pull"""	712
"form_""directions"""	713
"lemma_""direction"""	714
"form_""To"""	715
feats_8	716
"form_""convenient"""	717
"lemma_""convenient"""	718
"form_""type"""	719
"form_""purchase"""	720
"lemma_""purchase"""	721
"form_""switched"""	722
"lemma_""switch"""	723
"form_""delayed"""	724
"lemma_""delay"""	725
"form_""put"""	726
"lemma_""put"""	727
"form_""off"""	728
"lemma_""off"""	729
"form_""entirely"""	730
"lemma_""entirely"""	731
"form_""implications"""	732
"lemma_""implication"""	733
"form_""important"""	734
"lemma_""important"""	735
"form_""Your"""	736
"form_""now"""	737
"lemma_""now"""	738
"form_""proportionately"""	739
"lemma_""proportionately"""	740
"form_""competing"""	741
"lemma_""compete"""	742
"form_""against"""	743
"lemma_""against"""	744
"form_""same"""	745
"lemma_""same"""	746
feats_23	747
"form_""vast"""	748
"lemma_""vast"""	749
"form_""array"""	750
"lemma_""array"""	751
"form_""other"""	752
"lemma_""other"""	753
"form_""appealing"""	754
"lemma_""appealing"""	755
"form_""industry"""	756
"lemma_""industry"""	757
"form_""trade"""	758
"lemma_""trade"""	759
"form_""associations"""	760
"lemma_""association"""	761
"form_""developing"""	762
"lemma_""develop"""	763
"form_""campaigns"""	764
"lemma_""campaign"""	765
"form_""protect"""	766
"lemma_""protect"""	767
"form_""enhance"""	768
"lemma_""enhance"""	769
"form_""share"""	770
"lemma_""share"""	771
"form_""'s"""	772
"lemma_""'s"""	773
"form_""dollar"""	774
"lemma_""dollar"""	775
"form_""being"""	776
"form_""spent"""	777
"form_""particular"""	778
"lemma_""particular"""	779
"form_""its"""	780
"lemma_""its"""	781
"form_""whole"""	782
"lemma_""whole"""	783
"form_""``"""	784
"lemma_""``"""	785
"form_""buying"""	786
"lemma_""buying"""	787
"form_""''"""	788
"lemma_""''"""	789
"form_""area"""	790
"form_""Geographic"""	791
"lemma_""geographic"""	792
"form_""shift"""	793
"lemma_""shift"""	794
"form_""The"""	795
"form_""trends"""	796
"lemma_""trend"""	797
"form_""evidence"""	798
"lemma_""evidence"""	799
"form_""population"""	800
"lemma_""population"""	801
"form_""shifts"""	802
"form_""Southwest"""	803
"lemma_""Southwest"""	804
"pos_""PROPN"""	805
feats_59	806
"form_""Far"""	807
"lemma_""Far"""	808
"form_""West"""	809
"lemma_""West"""	810
"form_""city"""	811
"lemma_""city"""	812
"form_""suburbs"""	813
"lemma_""suburb"""	814
"dep_""orphan"""	815
"form_""These"""	816
"form_""considered"""	817
"lemma_""consider"""	818
"form_""continuing"""	819
"form_""geographic"""	820
"form_""terms"""	821
"lemma_""term"""	822
"form_""allocation"""	823
"lemma_""allocation"""	824
"form_""strength"""	825
"lemma_""strength"""	826
"form_""even"""	827
"lemma_""even"""	828
"form_""plant"""	829
"lemma_""plant"""	830
"form_""location"""	831
"lemma_""location"""	832
"form_""Market"""	833
"form_""concentration"""	834
"lemma_""concentration"""	835
"form_""fewer"""	836
"lemma_""few"""	837
"form_""accounts"""	838
"lemma_""account"""	839
"form_""We"""	840
"form_""already"""	841
"lemma_""already"""	842
"form_""witnessed"""	843
"lemma_""witness"""	844
"form_""changes"""	845
feats_91	846
"form_""mergers"""	847
"lemma_""merger"""	848
"form_""acquisitions"""	849
"lemma_""acquisition"""	850
"form_""food"""	851
"lemma_""food"""	852
"form_""both"""	853
"lemma_""both"""	854
"dep_""det:predet"""	855
"form_""manufacturing"""	856
"lemma_""manufacturing"""	857
"form_""retail"""	858
"lemma_""retail"""	859
"form_""ends"""	860
"lemma_""end"""	861
"form_""Instead"""	862
"lemma_""instead"""	863
feats_25	864
"form_""relatively"""	865
"lemma_""relatively"""	866
"form_""small"""	867
"lemma_""small"""	868
feats_96	869
"form_""larger"""	870
"lemma_""large"""	871
"form_""may"""	872
"lemma_""may"""	873
"form_""require"""	874
"form_""packaging"""	875
"lemma_""packaging"""	876
"form_""warehousing"""	877
"lemma_""warehousing"""	878
"form_""salesmanship"""	879
"lemma_""salesmanship"""	880
"form_""executive"""	881
"lemma_""executive"""	882
"form_""practically"""	883
"lemma_""practically"""	884
"form_""link"""	885
"lemma_""link"""	886
"form_""network"""	887
"lemma_""network"""	888
"form_""adjusted"""	889
"lemma_""adjust"""	890
"form_""these"""	891
"form_""effects"""	892
"lemma_""effect"""	893
"form_""planned"""	894
"lemma_""plan"""	895
"form_""compete"""	896
"form_""effectively"""	897
"lemma_""effectively"""	898
"form_""under"""	899
"lemma_""under"""	900
"form_""changing"""	901
"lemma_""changing"""	902
"form_""circumstances"""	903
"lemma_""circumstance"""	904
"form_""2"""	905
"lemma_""2"""	906
"form_""private"""	907
"lemma_""private"""	908
"form_""label"""	909
"lemma_""label"""	910
"form_""logical"""	911
"lemma_""logical"""	912
"form_""expect"""	913
"lemma_""expect"""	914
"form_""continuation"""	915
"lemma_""continuation"""	916
"form_""way"""	917
"lemma_""way"""	918
"form_""during"""	919
"lemma_""during"""	920
"form_""first"""	921
"form_""As"""	922
"form_""mass"""	923
"lemma_""mass"""	924
"form_""dealer"""	925
"form_""grow"""	926
"lemma_""grow"""	927
"form_""size"""	928
"lemma_""size"""	929
feats_26	930
"form_""reason"""	931
"form_""them"""	932
"lemma_""they"""	933
"form_""try"""	934
"lemma_""try"""	935
"form_""manufacturer's"""	936
"lemma_""manufacture"""	937
"form_""well"""	938
"lemma_""well"""	939
"form_""profits"""	940
"lemma_""profit"""	941
"form_""effect"""	942
"form_""sale"""	943
feats_19	944
"form_""brands"""	945
"lemma_""brand"""	946
"form_""tends"""	947
"form_""do"""	948
"form_""frequently"""	949
"form_""helped"""	950
"lemma_""help"""	951
"form_""build"""	952
"lemma_""build"""	953
"form_""brand"""	954
"form_""delivering"""	955
"lemma_""deliver"""	956
"form_""largely"""	957
"lemma_""largely"""	958
"form_""qualities"""	959
"lemma_""quality"""	960
"form_""styles"""	961
"lemma_""style"""	962
"form_""merchandise"""	963
"lemma_""merchandise"""	964
"form_""branded"""	965
"form_""Moreover"""	966
"lemma_""moreover"""	967
"form_""aggressive"""	968
"lemma_""aggressive"""	969
"form_""outlets"""	970
"lemma_""outlet"""	971
"form_""stores"""	972
"lemma_""store"""	973
"form_""insisted"""	974
"lemma_""insist"""	975
feats_71	976
"form_""high"""	977
"lemma_""high"""	978
"form_""quality"""	979
"form_""seems"""	980
"form_""caught"""	981
"lemma_""catch"""	982
"form_""If"""	983
"form_""up"""	984
"lemma_""up"""	985
"form_""formulated"""	986
"lemma_""formulate"""	987
"form_""long"""	988
"lemma_""long"""	989
"form_""term"""	990
"form_""program"""	991
"lemma_""program"""	992
"form_""researching"""	993
"lemma_""research"""	994
"form_""strengthening"""	995
"lemma_""strengthen"""	996
"form_""position"""	997
"lemma_""position"""	998
"form_""n't"""	999
"form_""felt"""	1000
"form_""yet"""	1001
"lemma_""yet"""	1002
"form_""how"""	1003
"lemma_""how"""	1004
"form_""cope"""	1005
"lemma_""cope"""	1006
"form_""when"""	1007
"lemma_""when"""	1008
"form_""does"""	1009
"form_""appear"""	1010
"lemma_""appear"""	1011
"form_""Less"""	1012
"lemma_""less"""	1013
"form_""personal"""	1014
"lemma_""personal"""	1015
"form_""Display"""	1016
"lemma_""display"""	1017
"form_""merchandising"""	1018
"lemma_""merchandising"""	1019
"form_""backed"""	1020
"form_""pre-selling"""	1021
"lemma_""pre-selling"""	1022
"form_""strides"""	1023
"lemma_""stride"""	1024
"form_""It"""	1025
"form_""multiple"""	1026
"lemma_""multiple"""	1027
"form_""possible"""	1028
"lemma_""possible"""	1029
"form_""headaches"""	1030
"lemma_""headache"""	1031
"form_""How"""	1032
"form_""cash"""	1033
"lemma_""cash"""	1034
"form_""fast"""	1035
"form_""growing"""	1036
"form_""outlet"""	1037
"form_""still"""	1038
"lemma_""still"""	1039
"form_""maintain"""	1040
"lemma_""maintain"""	1041
"form_""relationships"""	1042
"lemma_""relationship"""	1043
"form_""older"""	1044
"lemma_""old"""	1045
"form_""existing"""	1046
"lemma_""exist"""	1047
"form_""higher"""	1048
"form_""stand"""	1049
"lemma_""stand"""	1050
"form_""justify"""	1051
"lemma_""justify"""	1052
"form_""premium"""	1053
"lemma_""premium"""	1054
"form_""without"""	1055
"lemma_""without"""	1056
"form_""spoken"""	1057
"lemma_""speak"""	1058
"form_""word"""	1059
"lemma_""word"""	1060
"form_""Salesmanship"""	1061
"form_""necessary"""	1062
"lemma_""necessary"""	1063
"form_""carefully"""	1064
"lemma_""carefully"""	1065
"form_""best"""	1066
"form_""suit"""	1067
"lemma_""suit"""	1068
"form_""studied"""	1069
"form_""caliber"""	1070
"lemma_""caliber"""	1071
"form_""relation"""	1072
"form_""requirements"""	1073
"lemma_""requirement"""	1074
"form_""effective"""	1075
"lemma_""effective"""	1076
"form_""Are"""	1077
"form_""experimenting"""	1078
"lemma_""experiment"""	1079
"form_""slants"""	1080
"lemma_""slant"""	1081
"form_""Higher"""	1082
"lemma_""High"""	1083
"form_""costs"""	1084
"form_""Some"""	1085
"form_""kept"""	1086
"lemma_""keep"""	1087
"form_""pressure"""	1088
"dep_""obl:agent"""	1089
feats_100	1090
"form_""fact"""	1091
"lemma_""fact"""	1092
"form_""come"""	1093
"lemma_""come"""	1094
"form_""certain"""	1095
"lemma_""certain"""	1096
"form_""niceties"""	1097
"lemma_""nicety"""	1098
"form_""flourishes"""	1099
"lemma_""flourish"""	1100
"form_""No"""	1101
"form_""taken"""	1102
"lemma_""take"""	1103
"form_""initiative"""	1104
"lemma_""initiative"""	1105
"form_""pointing"""	1106
"lemma_""point"""	1107
"form_""involved"""	1108
"lemma_""involve"""	1109
"form_""use"""	1110
"lemma_""use"""	1111
"form_""bulk"""	1112
"lemma_""bulk"""	1113
"form_""handling"""	1114
"lemma_""handling"""	1115
"form_""continuously"""	1116
"lemma_""continuously"""	1117
"form_""Computers"""	1118
"lemma_""Computer"""	1119
"form_""used"""	1120
"form_""keep"""	1121
"form_""branch"""	1122
"lemma_""branch"""	1123
"form_""inventories"""	1124
"lemma_""inventory"""	1125
"form_""workable"""	1126
"lemma_""workable"""	1127
"form_""Selective"""	1128
"lemma_""selective"""	1129
"form_""concentrating"""	1130
"lemma_""concentrate"""	1131
"form_""economies"""	1132
"form_""any"""	1133
"lemma_""any"""	1134
"form_""number"""	1135
"lemma_""number"""	1136
"form_""links"""	1137
"form_""Do"""	1138
"form_""scrutinizing"""	1139
"lemma_""scrutinize"""	1140
"form_""regularly"""	1141
"lemma_""regularly"""	1142
"form_""imagination"""	1143
"lemma_""imagination"""	1144
"form_""smaller"""	1145
"form_""priced"""	1146
"form_""salesmen"""	1147
"lemma_""salesman"""	1148
"form_""serve"""	1149
"lemma_""serve"""	1150
"form_""better"""	1151
"form_""lower"""	1152
"lemma_""low"""	1153
"form_""paid"""	1154
"lemma_""pay"""	1155
"form_""Will"""	1156
"form_""settle"""	1157
"lemma_""settle"""	1158
"form_""less"""	1159
"form_""frills"""	1160
"lemma_""frill"""	1161
"form_""return"""	1162
"lemma_""return"""	1163
"form_""benefit"""	1164
"lemma_""benefit"""	1165
"form_""they"""	1166
"form_""covering"""	1167
"lemma_""cover"""	1168
"form_""country"""	1169
"lemma_""country"""	1170
"form_""men"""	1171
"lemma_""man"""	1172
"form_""president"""	1173
"lemma_""president"""	1174
"form_""personally"""	1175
"lemma_""personally"""	1176
"form_""phones"""	1177
"lemma_""phone"""	1178
"form_""each"""	1179
"lemma_""each"""	1180
feats_21	1181
"form_""account"""	1182
"form_""6"""	1183
"lemma_""6"""	1184
"form_""mos"""	1185
"lemma_""mos"""	1186
"form_""result"""	1187
"lemma_""result"""	1188
"form_""were"""	1189
"form_""cut"""	1190
"lemma_""cut"""	1191
"form_""improved"""	1192
"lemma_""improve"""	1193
"form_""Distribution"""	1194
"form_""almost"""	1195
"lemma_""almost"""	1196
"form_""bound"""	1197
"lemma_""bind"""	1198
"form_""increase"""	1199
"form_""never"""	1200
